Unnamed: 0,date,area_name,area_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,new_deaths
33115,2022-10-15,Kingston upon Thames,E09000021,-20.0,-3.0,69.0,-5,-1.0,1.0,1.0
13635,2022-10-15,Hammersmith and Fulham,E09000013,-30.0,-9.0,3.0,-31,-23.0,1.0,1.0
12661,2022-10-15,Hackney,E09000012,-24.0,-8.0,-8.0,-24,-17.0,0.0,0.0
3895,2022-10-15,Barking and Dagenham,E09000002,-17.0,2.0,27.0,-6,-19.0,0.0,0.0
28245,2022-10-15,Tower Hamlets,E09000030,-13.0,-2.0,-9.0,-17,-9.0,0.0,2.0
21427,2022-10-15,Lewisham,E09000023,-8.0,-1.0,-15.0,-17,-17.0,1.0,0.0
19479,2022-10-15,Islington,E09000019,-31.0,-5.0,-10.0,-49,-12.0,0.0,0.0
5843,2022-10-15,Bexley,E09000004,-17.0,5.0,32.0,-26,-12.0,1.0,1.0
30193,2022-10-15,Wandsworth,E09000032,-26.0,-16.0,41.0,-18,-8.0,0.0,0.0
14609,2022-10-15,Haringey,E09000014,0.0,-10.0,-16.0,4,-26.0,0.0,0.0
11687,2022-10-15,Enfield,E09000010,-21.0,-9.0,10.0,-25,-15.0,1.0,1.0
27271,2022-10-15,Sutton,E09000029,-17.0,0.0,3.0,-29,-11.0,0.0,0.0
22401,2022-10-15,Merton,E09000024,-24.0,-10.0,-15.0,-5,-12.0,0.0,1.0
16557,2022-10-15,Havering,E09000016,-13.0,0.0,-7.0,-10,-5.0,0.0,0.0
6817,2022-10-15,Brent,E09000005,-11.0,0.0,24.0,-12,-12.0,0.0,1.0
18505,2022-10-15,Hounslow,E09000018,-9.0,14.0,-2.0,6,-2.0,0.0,0.0
8765,2022-10-15,Camden,E09000007,-21.0,-5.0,-14.0,14,-9.0,0.0,0.0
31167,2022-10-15,Greenwich,E09000011,-5.0,4.0,-18.0,3,-12.0,1.0,0.0
15583,2022-10-15,Harrow,E09000015,-13.0,18.0,47.0,6,5.0,0.0,0.0
10713,2022-10-15,Ealing,E09000009,-11.0,-4.0,15.0,-13,-12.0,0.0,0.0
26297,2022-10-15,Southwark,E09000028,-22.0,-8.0,-8.0,1,-4.0,-1.0,0.0
23375,2022-10-15,Newham,E09000025,-22.0,-1.0,82.0,-8,-1.0,-1.0,1.0
32141,2022-10-15,Kensington and Chelsea,E09000020,-25.0,9.0,-11.0,-23,-21.0,0.0,0.0
1947,2022-10-15,City of London,E09000001,-10.0,-42.0,-7.0,8,,,0.0
7791,2022-10-15,Bromley,E09000006,-17.0,6.0,-10.0,-14,-2.0,0.0,1.0
17531,2022-10-15,Hillingdon,E09000017,-10.0,-9.0,144.0,1,-7.0,0.0,0.0
24349,2022-10-15,Redbridge,E09000026,-18.0,-5.0,-19.0,-17,-12.0,0.0,1.0
9739,2022-10-15,Croydon,E09000008,-20.0,3.0,1.0,-24,-10.0,0.0,0.0
25323,2022-10-15,Richmond upon Thames,E09000027,-23.0,0.0,-19.0,-18,-14.0,0.0,0.0
4869,2022-10-15,Barnet,E09000003,-16.0,4.0,-4.0,-13,-10.0,0.0,1.0
2921,2022-10-15,Westminster,E09000033,-24.0,3.0,-30.0,-8,-18.0,0.0,0.0
29219,2022-10-15,Waltham Forest,E09000031,-13.0,-3.0,-29.0,-19,-20.0,1.0,1.0
20453,2022-10-15,Lambeth,E09000022,-23.0,-9.0,35.0,0,-4.0,0.0,0.0
2920,2022-10-14,Westminster,E09000033,-37.0,-8.0,-20.0,-20,-39.0,7.0,1.0
23374,2022-10-14,Newham,E09000025,-18.0,2.0,135.0,-17,-25.0,4.0,0.0
26296,2022-10-14,Southwark,E09000028,-28.0,-5.0,-10.0,-25,-32.0,7.0,0.0
10712,2022-10-14,Ealing,E09000009,-10.0,-6.0,-12.0,-24,-30.0,6.0,0.0
15582,2022-10-14,Harrow,E09000015,-14.0,17.0,30.0,-9,-26.0,7.0,1.0
3894,2022-10-14,Barking and Dagenham,E09000002,-15.0,10.0,29.0,-11,-29.0,3.0,0.0
30192,2022-10-14,Wandsworth,E09000032,-26.0,-12.0,50.0,-18,-40.0,10.0,0.0
18504,2022-10-14,Hounslow,E09000018,0.0,3.0,10.0,-7,-26.0,5.0,0.0
8764,2022-10-14,Camden,E09000007,-30.0,-2.0,-4.0,-7,-41.0,9.0,1.0
